FOV,Round,Channel,Spot Count
X14_Y14,4,Alexa_568,894
X14_Y14,4,Alexa_647,220
X14_Y14,4,Atto_490LS,845
FOV,Round,Channel,Spot Count
X15_Y13,1,Atto_425,1205
X15_Y13,1,DAPI,271
X15_Y13,1,Alexa_488,69
X15_Y13,1,Alexa_568,631
X15_Y13,1,Alexa_647,901
X15_Y13,1,Atto_490LS,1069
X15_Y13,2,Atto_425,766
X15_Y13,2,DAPI,354
X15_Y13,2,Alexa_488,155
X15_Y13,2,Alexa_568,556
X15_Y13,2,Alexa_647,731
X15_Y13,2,Atto_490LS,935
X15_Y13,3,Atto_425,569
X15_Y13,3,DAPI,283
X15_Y13,3,Alexa_488,875
X15_Y13,3,Alexa_568,391
X15_Y13,3,Alexa_647,593
X15_Y13,3,Atto_490LS,932
X15_Y13,4,Atto_425,2572
X15_Y13,4,DAPI,255
X15_Y13,4,Alexa_488,312
X15_Y13,4,Alexa_568,972
X15_Y13,4,Alexa_647,216
X15_Y13,4,Atto_490LS,976
FOV,Round,Channel,Spot Count
X21_Y3,1,Atto_425,642
X21_Y3,1,DAPI,114
X21_Y3,1,Alexa_488,328
X21_Y3,1,Alexa_568,213
X21_Y3,1,Alexa_647,175
X21_Y3,1,Atto_490LS,288
X21_Y3,2,Atto_425,230
X21_Y3,2,DAPI,174
X21_Y3,2,Alexa_488,283
X21_Y3,2,Alexa_568,115
X21_Y3,2,Alexa_647,412
X21_Y3,2,Atto_490LS,373
X21_Y3,3,Atto_425,152
X21_Y3,3,DAPI,95
X21_Y3,3,Alexa_488,262
X21_Y3,3,Alexa_568,80
X21_Y3,3,Alexa_647,394
X21_Y3,3,Atto_490LS,311
X21_Y3,4,Atto_425,222
X21_Y3,4,DAPI,106
X21_Y3,4,Alexa_488,147
X21_Y3,4,Alexa_568,163
X21_Y3,4,Alexa_647,110
X21_Y3,4,Atto_490LS,293
FOV,Round,Channel,Spot Count
X19_Y7,1,Atto_425,1743
X19_Y7,1,DAPI,323
X19_Y7,1,Alexa_488,899
X19_Y7,1,Alexa_568,441
X19_Y7,1,Alexa_647,677
X19_Y7,1,Atto_490LS,828
X19_Y7,2,Atto_425,667
X19_Y7,2,DAPI,508
X19_Y7,2,Alexa_488,498
X19_Y7,2,Alexa_568,543
X19_Y7,2,Alexa_647,842
X19_Y7,2,Atto_490LS,765
X19_Y7,3,Atto_425,644
X19_Y7,3,DAPI,307
X19_Y7,3,Alexa_488,689
X19_Y7,3,Alexa_568,225
X19_Y7,3,Alexa_647,73
X19_Y7,3,Atto_490LS,754
X19_Y7,4,Atto_425,2473
X19_Y7,4,DAPI,275
X19_Y7,4,Alexa_488,279
X19_Y7,4,Alexa_568,720
X19_Y7,4,Alexa_647,196
X19_Y7,4,Atto_490LS,792
FOV,Round,Channel,Spot Count
X12_Y0,1,Atto_425,59
X12_Y0,1,DAPI,49
X12_Y0,1,Alexa_488,54
X12_Y0,1,Alexa_568,168
X12_Y0,1,Alexa_647,108
X12_Y0,1,Atto_490LS,172
X12_Y0,2,Atto_425,73
X12_Y0,2,DAPI,43
X12_Y0,2,Alexa_488,141
X12_Y0,2,Alexa_568,73
X12_Y0,2,Alexa_647,221
X12_Y0,2,Atto_490LS,176
X12_Y0,3,Atto_425,1
X12_Y0,3,DAPI,34
X12_Y0,3,Alexa_488,1
X12_Y0,3,Alexa_568,66
X12_Y0,3,Alexa_647,137
X12_Y0,3,Atto_490LS,186
X12_Y0,4,Atto_425,13
X12_Y0,4,DAPI,36
X12_Y0,4,Alexa_488,60
X12_Y0,4,Alexa_568,136
X12_Y0,4,Alexa_647,78
X12_Y0,4,Atto_490LS,174
FOV,Round,Channel,Spot Count
X19_Y10,1,Atto_425,4109
X19_Y10,1,DAPI,227
X19_Y10,1,Alexa_488,813
X19_Y10,1,Alexa_568,391
X19_Y10,1,Alexa_647,530
X19_Y10,1,Atto_490LS,670
X19_Y10,2,Atto_425,519
X19_Y10,2,DAPI,198
X19_Y10,2,Alexa_488,376
X19_Y10,2,Alexa_568,475
